"","AR","beta_catenin","Caspase8","Caspase9","EGF","EGFR","HSP27","IGF_1","IGF1_R","IL6","IL6R","Jak","MEK","mTOR","MYC","NFkB","p53","PI3K","Rac","RAS","RPS6","Stat3","TNFa","TNFR","AKT","Cell_cycle","ERK1_2","GSK3","IKK","JNK","p38"
"SNU-449",0.813097118465703,0.312944306062384,0.466251757131482,0.383239683717977,0.0913086175882739,0.999975683296813,0.592885745403127,0.0988345363027069,0.646022020954264,0.526198860245805,0.871472435246583,0.639944177544662,0.206620866521918,0.13220830385593,0.455807842369841,0.153116665033963,0.599126546196551,0.150660703820947,0.557596734933224,0.401044396090217,0.519920539048592,0.501889665181088,0.430056580532467,0.593870921711877,0.679681077621958,0.552622415255106,0.62261364853831,0.422635026684293,0.490832401845482,0.460362271519143,0.203517794021253
"SNU-475",0.562150740221556,0.294632487288333,0.477215763447848,0.666287375815128,0.674484627246203,0.974271198657455,0.864454528924902,0.98322989580146,0.579807262759776,0.30266238739926,0.7807513589678,0.417094873098962,0.424755722175398,0.82459459513177,0.225116590962108,0.200915106593302,0.495177257131118,0.271836959049281,0.316169542637267,0.656501387859416,0.199905287287203,0.713578566199617,0.27336101057852,0.770114596714578,0.550433724556694,0.555877572608368,0.533934501092969,0.581206857839494,0.326742809631957,0.457798670662108,0.251135148213102
"SNU-C1",0.393215171249876,0.585360668170129,0.675640413533962,0.417279072679069,0.237349362869417,0.997839273447152,0.362514435429788,0.453362951324891,0.521667931898312,0.497478013904271,0.490261900065962,0.630789316419298,0.65268318425716,0.691671883584902,0.792835452335049,0.469171666533373,0.0776772016681279,0.26318444512916,0.569559136309366,0.314861983118053,0.756310444595008,0.37967642680944,0.22795813984095,0.467262506282085,0.390031067787316,0.268688058292933,0.73399861458511,0.593812193096128,0.884561903981449,0.389506432984382,0.896809825497426
"SNU-C2B",0.659581137145585,0.595977545834038,0.574594833073841,0.846293211955212,0.224080148907647,0.69842917409686,0.047070116982989,0.792698983050653,0.178015250178849,0.238116350705296,0.508216105786345,0.00215104591139457,0.55911924120499,0.499387074338897,0.285746480521329,0.561405185446796,0.581999190340234,0.199449768651106,0.461216688284903,0.818079411057853,0.127471593614598,0.421331975813949,0.12584043007509,0.721306707557522,0.476809708746202,0.566181961049997,0.504231025645069,0.755197407045557,0.606840422313106,0.642983396794965,0.688594585601195
"SR",0.191046364725436,0.571841801749036,0.769459177309598,0.878867707154384,0.246045137554429,0.000435630368896458,0.224949737941238,0.557427302933247,0.734426429881219,0.44309753052916,0.81331837588565,0.676333336118203,0.51824967054441,0.241216288120419,0.346336146640864,0.643938022304264,0.419605312170728,0.380375550232211,0.645495108538959,0.727063295189113,0.723366233617218,0.749522241782051,0.816022321536948,0.458586992478968,0.458999771389385,0.38486336606303,0.381413242750541,0.370400230259488,0.728869149099345,0.70744216075601,0.859040808940726
"ST486",0.581130376554856,0.247387262613943,0.467202476882508,0.702109268493427,0.262145724967182,0.00266548055008769,0.700770346057131,0.726300305618812,0.342790413278316,0.372984960691926,0.0691182601745317,0.568464745637699,0.5214020688698,0.706039563432459,0.326711973307294,0.661696474655316,0.850823766465252,0.432103878906136,0.552416638395645,0.737321783036849,0.841638999767453,0.25466776826444,0.480620468740134,0.133933960581497,0.548221088729933,0.472069128570221,0.312143497422398,0.465801876036161,0.714407646346024,0.592225457320869,0.212351553508543
"SU-DHL-1",0.356149245196846,0.576250863078203,0.66692546052161,0.574217670542509,0.167595746779324,2.30038769589544e-07,0.212783106685347,0.168902518512618,0.759507601952269,0.214824086572624,0.975499191434721,0.38806278465225,0.624984415788495,0.083585958059794,0.566503346664895,0.493505597548319,0.695101253469671,0.267429228938794,0.124718812624844,0.64850899661544,0.690528993262861,0.97563724523622,0.251422087152914,0.307401982432081,0.577882350671857,0.376331112549431,0.272815035423925,0.661591469978868,0.522514538195279,0.400734565158848,0.52341995994685
"SUP-T1",0.567298782783799,0.598353703332443,0.911969243530101,0.649410831175459,0.253023971315133,0.00180419333168927,0.648005507292835,0.707350137660223,0.733570928681032,0.322010274647026,0.391886616033928,0.66735139086805,0.355850747354419,0.684324398172016,0.41258470187691,0.132283043197552,0.834317735463548,0.424584653267405,0.202409151314807,0.879735628750686,0.833502472894508,0.403894361430735,0.445255646936188,0.322505751895613,0.573228512836446,0.48438513461653,0.349896107090358,0.478485564971715,0.778924455266894,0.397953601857957,0.212467023369989
"SW1088",0.901820515980906,0.509881313874312,0.509081107039783,0.474121613743196,0.632206717751922,0.997785604744009,0.634908010674866,0.724726789805525,0.275675638805895,0.772395154181046,0.393338046736079,0.684453795639286,0.157189111195242,0.733259036483881,0.152335241160652,0.274680546971506,0.648924840491178,0.223373830043482,0.445093858213671,0.506737829728732,0.0748993614886045,0.731136643419297,0.236574355633716,0.810424070895189,0.748138689225551,0.625398553499939,0.61520310662577,0.43431313398795,0.517500808554056,0.626303753776071,0.154493264083649
"SW1116",0.36076902429627,0.386596516825193,0.744851107854725,0.219972434897397,0.247469552500105,0.998357087000025,0.419763220644993,0.357337883134445,0.295754052177111,0.361728003570022,0.434129217128245,0.237476018466844,0.134147268394884,0.660613922977466,0.755343806320828,0.652331353943374,0.633539132510491,0.391200887846387,0.872234868695472,0.474338476930862,0.621909092960491,0.3646299523019,0.174097857101331,0.441029599005613,0.406341399502035,0.556476161246217,0.528364855996475,0.49341584102377,0.641814402306202,0.590693366293214,0.801722467220831
"SW13",0.461931995508578,0.237484824825124,0.0492719982864874,0.884056533285475,0.491472282684878,6.55041922563931e-05,0.479343809050798,0.322942761203698,0.360945120200489,0.503189868001539,0.595793232197524,0.217618847434897,0.216370466005563,0.296017000756902,0.223060000237339,0.404131340589588,0.675124162450347,0.42593766079193,0.266329763652865,0.359580139099817,0.628513521684822,0.294608714295479,0.192499219918669,0.373998008032741,0.452000756895461,0.350494438273847,0.521608370696917,0.624652945463712,0.629401861865698,0.381542886382733,0.293350342099967
