"","AR","beta_catenin","Caspase8","Caspase9","EGF","EGFR","HSP27","IGF_1","IGF1_R","IL6","IL6R","Jak","MEK","mTOR","MYC","NFkB","p53","PI3K","Rac","RAS","RPS6","Stat3","TNFa","TNFR","AKT","Cell_cycle","ERK1_2","GSK3","IKK","JNK","p38"
"C2BBe1",1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0.666666666666667,0.833333333333333,0.5,0.5,0,0.333333333333333,1
"C32",0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0.666666666666667,1,0.5,0,0,0
"C3A",0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0.666666666666667,0.833333333333333,0.5,0.5,0.5,0.333333333333333,1
"Ca-Ski",0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0.666666666666667,0.5,0.5,0,0.333333333333333,0.5
"CA46",0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0.666666666666667,0.333333333333333,0.5,0,0.5,0.333333333333333,0
"Ca9-22",0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0.5,1,0.5,1,0.333333333333333,0.5
"CAKI-1",1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0.666666666666667,0.333333333333333,0,0.5,0.5,0.333333333333333,0
"CAL-120",1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0.5,0.5,0.5,0,0
"CAL-12T",1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0.166666666666667,1,0.5,0,0,0
"CAL-148",1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0.666666666666667,0.166666666666667,0.5,0.5,1,0,0.5
"CAL-27",1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0.666666666666667,0.5,0.5,0,0,0,0
"CAL-33",0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0.666666666666667,0.333333333333333,1,0.5,0,0.666666666666667,1
"CAL-39",0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0.666666666666667,0,1,0.5,0.5,0.333333333333333,0
"CAL-51",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.666666666666667,0.666666666666667,1,0,0.5,0.333333333333333,0.5
"CAL-54",0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0.333333333333333,0.5,0.5,0,0.5,0.333333333333333,0
"CAL-62",0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0.833333333333333,0.5,0.5,1,0,0.5
"CAL-85-1",0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0.5,0.5,0.5,0,0.333333333333333,1
"Calu-3",0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0.666666666666667,1,0.5,0.5,0,0
"Calu-6",0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0.5,0.5,0.5,0,0.333333333333333,0
"CAMA-1",1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0.666666666666667,0.166666666666667,1,1,0.5,1,0.5
"Caov-3",1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.666666666666667,0.666666666666667,1,0.5,0,0,0.5
"Caov-4",1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0.5,0,0.5,0,0,0
"CAPAN-1",0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0.333333333333333,1,0.5,0.5,0,0.5
"CaR-1",0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0.5,1,0.5,0.5,0.666666666666667,0.5
"CAS-1",1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0.5,1,0.5,0,0.333333333333333,0
"CCF-STTG1",1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0.333333333333333,1,0.5,0.5,0,0
"CCRF-CEM",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0.666666666666667,0.5,0.5,1,0.333333333333333,0.5
"CESS",1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0.5,1,0.5,0.5,0.333333333333333,0.5
"CFPAC-1",0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0.333333333333333,0.5,0.5,0.5,0,0.5
"CGTH-W-1",1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0.5,1,0.5,0.5,0.333333333333333,0
"ChaGo-K-1",1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0.5,1,1,0,0,0.5
"CHL-1",0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0.5,0.5,0.5,0.5,0,0
"CHP-134",0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0.833333333333333,0.5,1,0,0.666666666666667,0
