"","AR","beta_catenin","Caspase8","Caspase9","EGF","EGFR","HSP27","IGF_1","IGF1_R","IL6","IL6R","Jak","MEK","mTOR","MYC","NFkB","p53","PI3K","Rac","RAS","RPS6","Stat3","TNFa","TNFR","AKT","Cell_cycle","ERK1_2","GSK3","IKK","JNK","p38"
"BHY",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,0,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA
"BL-41",NA,NA,NA,NA,NA,1,1,NA,1,1,1,NA,1,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH-1",NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,1,NA,NA,1,NA,1,NA,1,1
"BT-20",NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA
"BT-549",NA,NA,NA,1,NA,1,NA,NA,NA,1,1,1,NA,1,1,NA,0,NA,1,NA,1,NA,1,NA,1,1,NA,NA,1,1,1
"BV-173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"BxPC-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA
"C2BBe1",NA,1,1,NA,NA,1,1,1,NA,1,1,NA,NA,1,NA,NA,0,NA,1,1,NA,1,1,1,1,1,1,NA,1,1,1
"C32",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C3A",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ca-Ski",NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,1,1,NA,1,1,1,1,NA,NA,1
"CA46",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
"Ca9-22",NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
"CAKI-1",NA,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA
"CAL-120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,0,1,NA,1,NA,NA,1,1,1,1,1,NA,1,1,1
"CAL-12T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA
"CAL-148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"CAL-27",NA,NA,0,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAL-33",NA,NA,0,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAL-39",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA
"CAL-51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAL-54",NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAL-62",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"CAL-85-1",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"Calu-3",NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,1,1,NA,1,NA,1,1,1,1,1
"Calu-6",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,0,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"CAMA-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
"Caov-3",NA,NA,NA,NA,1,1,1,NA,1,NA,1,1,1,NA,NA,NA,0,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA
"Caov-4",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CAPAN-1",NA,1,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"CaR-1",NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,1,NA
"CAS-1",NA,1,NA,NA,NA,1,1,1,NA,1,NA,NA,1,NA,1,NA,0,1,1,1,NA,1,1,1,1,1,1,1,1,1,1
"CCF-STTG1",1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CCRF-CEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"CESS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CFPAC-1",NA,NA,1,1,NA,NA,1,NA,1,NA,1,1,1,1,1,NA,NA,1,NA,1,NA,1,1,NA,1,1,NA,1,1,1,1
"CGTH-W-1",1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,NA
"ChaGo-K-1",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"CHL-1",NA,NA,1,1,NA,1,1,1,NA,1,1,1,NA,1,1,NA,0,1,1,1,1,1,1,0,NA,1,1,NA,NA,NA,1
"CHP-134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHP-212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COLO-205",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,1,NA,1,NA
"COLO-320-HSR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COLO-668",NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,0,NA,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA
"COLO-678",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"COLO-679",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"COLO-680N",NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,0,NA,1,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,1
"COLO-684",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,NA,NA
